epi_weeks,cases,avg_temp,avg_humid
1,1,26.1197602857,63.6886084286
2,1,25.5900358571,55.3961594286
3,0,25.7536485714,56.0084032857
4,0,24.893149,63.9634101429
5,1,25.5882357143,52.0588238571
6,1,26.4789914286,48.6554625714
7,3,25.957458,50.7169118571
8,0,24.872899,58.3420282857
9,1,25.772876,56.4435704286
10,1,23.764706,67.5232197143
11,1,24.966387,61.453781
12,1,25.7972964286,56.8354344286
13,1,22.9777312857,69.699684
14,2,23.4674604286,73.3681841429
15,1,25.167017,58.9921222857
16,1,24.3383851429,67.1781214286
17,2,23.2157445714,68.7494752857
18,1,20.034629,55.0541667143
19,3,23.0388655714,59.3917667143
20,1,20.6180105714,54.4600037143
21,3,22.862245,56.8910571429
22,0,21.2253857143,66.3435598571
23,1,21.9036415714,60.3513654286
24,0,20.9658262857,61.6655462857
25,0,20.782093,61.6404565714
26,0,20.2864844286,58.662885
27,0,22.445378,51.5210084286
28,1,20.5310122857,59.2402974286
29,0,19.8735792857,55.1739042857
30,0,19.251067,66.2579182857
31,0,18.6047227143,64.1871721429
32,0,20.7819675714,44.3430322857
33,0,20.7516508571,52.4444025714
34,0,21.8204484286,51.4573684286
35,1,24.4156352857,43.177015
36,0,22.8807195714,49.1362832857
37,2,22.2331182857,44.1612398571
38,0,25.2113121429,40.7523011429
39,0,24.6920142857,41.3215711429
40,1,25.0116714286,45.6665732857
41,0,22.2064077143,39.1612392857
42,4,29.1897172857,33.5940125714
43,0,25.1296918571,52.9072628571
44,0,22.4253281429,69.5631732857
45,1,26.0654262857,50.9627852857
46,0,23.2738792857,70.9995807143
47,1,24.1932774286,51.1260498571
48,0,22.6314895714,80.4767814286
49,0,22.3426701429,71.6908968571
50,0,24.3963582857,62.3636792857
51,0,24.7239144286,64.5831002857
52,0,25.5501992857,63.5152575714
53,0,28.1736695714,48.9495801429
54,1,25.9453781429,54.2488318571
55,0,27.6638658571,42.5798322857
56,1,27.0189074286,47.7526257143
57,2,25.4275761429,63.6669622857
58,1,23.7360921429,69.4296618571
59,1,24.9480877143,64.5181568571
60,0,24.7551938571,64.3463107143
61,3,25.0528777143,63.0939852857
62,1,24.653909,66.0147177143
63,2,24.2327844286,72.467845
64,4,24.3917911429,64.550991
65,2,24.5537814286,69.061345
66,3,24.439076,69.9184421429
67,1,22.1760562857,72.6782662857
68,2,23.8933822857,60.5730051429
69,3,24.799428,70.0616231429
70,6,21.5787815714,67.2006307143
71,12,21.4663114286,73.0883104286
72,5,20.0259681429,71.6306592857
73,4,20.0311624286,69.8071081429
74,3,21.8844535714,64.3571437143
75,2,20.8571431429,70.936449
