epi_weeks,cases,avg_temp,avg_humid
1,5,27.4345237143,64.1421227143
2,9,27.2800671429,56.2927498571
3,14,25.329972,65.6094307143
4,10,26.1551822857,62.7985294286
5,13,28.1619045714,49.4380955714
6,14,29.3316527143,48.1495801429
7,21,27.3706415714,53.0238257143
8,12,24.768254,64.2365097143
9,13,27.1273808571,57.4309532857
10,15,24.5198878571,69.532248
11,17,26.7884917143,60.3549608571
12,13,27.0058674286,58.8760197143
13,21,23.1174602857,67.4099764286
14,24,23.9418315714,73.3823822857
15,24,25.7646827143,62.3748018571
16,23,23.0916668571,76.0458328571
17,19,22.6897581429,70.6598742857
18,22,20.2902214286,59.1800174286
19,26,22.9452381429,61.8857147143
20,40,20.2061497143,62.085123
21,33,21.7467731429,69.30993
22,30,19.5795987143,70.8655114286
23,37,20.3398291429,68.7533808571
24,51,21.5827094286,68.7213034286
25,39,20.0783311429,72.2530014286
26,28,20.1428572857,64.9904758571
27,35,21.0522868571,60.6069561429
28,29,19.2108442857,73.4096037143
29,38,19.370238,62.579761
30,29,19.2010075714,64.9782964286
31,17,18.4218198571,69.5198118571
32,15,20.3231294286,54.7224497143
33,33,19.5957227143,63.7811034286
34,31,21.8818875714,60.6573131429
35,23,21.6996151429,56.9451682857
36,13,22.4476192857,56.0458337143
37,12,24.8635205714,43.5248301429
38,12,25.0282215714,54.7267858571
39,14,22.639791142900002,61.9627458571
40,12,22.7174995714,64.5612861429
41,11,24.2785244286,42.927358
42,3,28.954592,45.7208334286
43,7,24.2681972857,61.6706627143
44,7,25.8361612857,54.7880588571
45,4,25.8678571429,64.883929
46,2,23.6107641429,66.1342804286
47,4,25.2476191429,52.2997497143
48,18,24.5265144286,72.225013
49,18,25.9899748571,58.7888875714
50,49,25.9682777143,64.5030088571
51,97,26.0025374286,59.7800231429
52,96,26.9998718571,64.8982264286
53,60,28.7638655714,56.3339285714
54,409,27.7375001429,59.4815482857
55,623,29.704166999999998,54.4589285714
56,930,27.9859647143,57.2653422857
57,879,26.8312674286,63.6908261429
58,824,23.309582,76.0412677143
59,725,26.8860361429,67.6772764286
60,682,25.9967088571,67.544327
61,777,26.8551472857,61.907027
62,997,25.9017857143,64.4599201429
63,850,24.5482144286,76.0267854286
64,770,23.5757518571,76.3226315714
65,621,24.2424812857,71.2161657143
66,401,24.8095238571,69.5988668571
67,425,23.0836604286,69.1771235714
68,448,25.3047621429,63.7880938571
69,500,23.911631,75.3459501429
70,401,21.6706352857,68.2632927143
71,277,21.2913265714,70.2639475714
72,222,20.1273308571,72.0691864286
73,148,20.9196425714,71.3404757143
74,108,21.3888887143,70.6726194286
75,103,19.4952381429,77.98512
76,92,20.996819,65.8559942857
77,46,19.9446428571,73.9922614286
78,39,18.1115287143,73.4566428571
79,28,19.704511,68.7156642857
80,11,18.8190475714,73.1809525714
81,8,22.493001,60.6628421429
82,10,19.9034548571,68.9939312857
83,10,21.3678516667,63.5539625
84,5,22.1428572857,53.3904764286
85,4,21.9190475714,56.119048
86,5,22.6482142857,53.8285721429
87,8,20.487437,68.0917284286
88,3,22.2789842857,61.5217054286
89,5,20.792051999999998,74.6730745714
90,10,24.8648911429,60.1355648571
91,8,27.2248012857,50.9152778571
92,13,24.4807071429,70.5055677143
93,9,25.504762,58.5999997143
94,15,28.1804488571,52.5462458571
95,15,24.8405707143,65.0255008571
96,12,24.9771005714,65.6081695714
97,15,24.617708375,77.10059875
98,19,26.722221,66.7523138571
99,18,25.3427636667,71.9435093333
100,22,25.5310634286,68.310513
101,26,23.996904,77.9246291429
102,73,23.352041,79.5294342857
103,32,22.0125,84.175
104,40,21.9523808571,84.7857142857
105,29,23.1875,75.2321428571
106,65,21.8476188571,81.2476191429
107,62,22.5396827143,89.63492
108,80,19.5384614286,82.32967
109,74,22.5714285714,82.4717947143
110,113,28.3081631429,59.492261
111,142,25.9502222857,69.7018775714
112,129,22.4285714286,85.6380952857
113,143,21.7959182857,87.0306124286
114,127,20.8163264286,85.3367342857
115,119,21.5494504286,84.7032971429
116,137,21.1373625714,86.3406585714
117,138,20.7589285714,88.1517857143
118,204,20.6428571429,88.8571428571
119,186,21.8405611429,78.9477042857
120,183,25.2351646,70.718925
121,113,,
122,66,17.9761905,84.52381
123,48,13.0,91.0
124,57,18.4909092,83.9636368
125,34,17.8928571667,86.72619
126,11,15.9809524286,87.0
127,4,16.9489795714,88.4183671429
128,7,14.4761903333,90.8928566667
129,7,9.3571428571,88.0408161429
130,6,15.7428571429,83.4285714286
131,6,14.5238094286,87.8333337143
132,4,13.255102,83.2551014286
133,2,14.8673468571,81.8367347143
